case,method,grid_or_nodes,cumulative_seconds,lower,upper,width
ties0,price8.0,141,4.760163440000042,1.0592347271451865,1.0748499933747566,0.01561526622957013
ties0,price8.0,143,4.8313696710000045,1.0616178590115706,1.0748499933747566,0.01323213436318612
ties0,price8.0,145,4.904427913999996,1.0619578672109007,1.0748499933747566,0.01289212616385609
ties0,price8.0,147,4.97562289800004,1.0621166152667743,1.0748499933747566,0.012733378107982416
ties0,price8.0,149,5.0477672880000455,1.0627668275688884,1.0748499933747566,0.012083165805868365
ties0,price8.0,151,5.118828721,1.0631339847810812,1.0748499933747566,0.011716008593675577
ties0,price8.0,153,5.191299782000044,1.0631339847810812,1.0748499933747566,0.011716008593675577
ties0,price8.0,155,5.2632959400000345,1.0631339847810812,1.0748499933747566,0.011716008593675577
ties0,price8.0,157,5.334774519000007,1.0632246422590164,1.0748499933747566,0.011625351115740248
ties0,price8.0,159,5.407059762000017,1.063348162340404,1.0748499933747566,0.011501831034352842
ties0,price8.0,161,5.477199929000051,1.0639315991393348,1.0748499933747566,0.01091839423542199
ties0,price8.0,163,5.548278828000036,1.0639542557908719,1.0748499933747566,0.010895737583884789
ties0,price8.0,165,5.619458479000002,1.0639562347299583,1.0748499933747566,0.010893758644798423
ties0,price8.0,167,5.690568194000036,1.0639562347299583,1.0748499933747566,0.010893758644798423
ties0,price8.0,169,5.761803568000005,1.06395887956822,1.0748499933747566,0.010891113806536616
ties0,price8.0,171,5.832814145000043,1.0639588795684696,1.0748499933747566,0.010891113806287203
ties0,price8.0,173,5.902717667000047,1.0639588795696393,1.0748499933747566,0.010891113805117484
ties0,price8.0,175,5.975548297000046,1.06396086321424,1.0748499933747566,0.01088913016051651
ties0,price8.0,177,6.012592030999997,1.06396086321424,1.0748499933747566,0.01088913016051651
ties0,price8.0,179,6.083411768000019,1.0640694723952346,1.0748499933747566,0.010780520979522012
ties0,price8.0,181,6.154993060000038,1.0640694723952346,1.0748499933747566,0.010780520979522012
ties0,price8.0,183,6.257467482000038,1.064213311062469,1.0748499933747566,0.010636682312287852
ties0,price8.0,185,6.3285376260000135,1.0642618882983041,1.0748499933747566,0.010588105076452503
ties0,price8.0,187,6.400913943000035,1.064367074807873,1.0748499933747566,0.010482918566883739
ties0,price8.0,189,6.473246965000044,1.0644502988755444,1.0748499933747566,0.010399694499212204
ties0,price8.0,191,6.545940628000039,1.0644675332509848,1.0748499933747566,0.01038246012377191
ties0,price8.0,193,6.583237393000047,1.0644675332509848,1.0748499933747566,0.01038246012377191
ties0,price8.0,195,6.620031943000015,1.0644675332509848,1.0748499933747566,0.01038246012377191
ties0,price8.0,197,6.694125890999999,1.0645910127180982,1.0748499933747566,0.010258980656658572
ties0,price8.0,199,6.76729493900001,1.0646701214889742,1.0748499933747566,0.010179871885782468
ties0,price8.0,201,6.840232429000025,1.0647063897625626,1.0748499933747566,0.010143603612194055
ties0,price8.0,203,6.913361728000041,1.0647065503751547,1.0748499933747566,0.010143442999602
